,Unnamed: 0_B,Unnamed: 0.1_B,id_B,xcentroid_B,ycentroid_B,sharpness_B,roundness1_B,roundness2_B,npix_B,sky_B,peak_B,flux_B,mag_B,Unnamed: 0_V,Unnamed: 0.1_V,id_V,xcentroid_V,ycentroid_V,sharpness_V,roundness1_V,roundness2_V,npix_V,sky_V,peak_V,flux_V,mag_V,x_rad,y_rad,rad
889623,595,595,596,1706.6960906134395,1464.141069042862,0.2977551225851048,-0.147869711098321,0.4372453432451652,25,0.0,1160.7197474787663,1.774587169361828,13.67725665711525,693,693,694,1706.6496677061716,1464.291779708132,0.3293196926756295,0.0742054879791124,0.5757717702192323,25,0.0,1770.4754395208383,2.050268314537464,13.520473249924226,138.6496677061716,-5.708220291867974,10.53381222712771
889630,595,595,596,1706.6960906134395,1464.141069042862,0.2977551225851048,-0.147869711098321,0.4372453432451652,25,0.0,1160.7197474787663,1.774587169361828,13.67725665711525,700,700,701,1706.4717229988248,1463.7226260190398,0.6017121364677617,-0.2505608780400556,0.2134445246444069,25,0.0,1920.2107758180705,2.014987314514664,13.539319209109443,138.47172299882482,-6.277373980960192,10.522183947735918
895604,599,599,600,1600.7827240308109,1462.7151082353032,0.4435332317406258,0.0444823305126106,0.3547636077219097,25,0.0,3509.661353298056,1.5960679878684914,13.79237153226392,698,698,699,1600.90383382139,1463.9129286418688,0.3822969880810947,-0.1585478041546728,-0.1328727780629752,25,0.0,6341.168138064182,4.3798363821590565,12.69635528290226,32.90383382138998,-6.0870713581311975,2.5401109390605208
897086,600,600,601,1540.3523012627193,1462.9918811704763,0.7451278862548837,-0.4825130513084272,-0.5237621007735062,25,0.0,3919.8559501880095,1.3768180120168918,13.952808652625894,686,686,687,1539.8952607640006,1463.2263102237623,0.2502627999079913,0.1455234208570653,-0.1343414256096692,25,0.0,4208.762919236023,1.829427842643509,13.64421178883748,-28.104739235999432,-6.773689776237688,2.19452021124612
898588,601,601,602,1576.4189485643665,1464.7557361841532,0.3425482539418736,0.2982153583253816,0.7343793983128051,25,0.0,5277.74459166029,1.6544769032273143,13.753348228212486,694,694,695,1578.375279557136,1463.042937984682,0.7507468736777961,-0.1421680345566628,-0.1447498859428185,25,0.0,6370.102682469325,1.5311233942328484,13.837474519539516,10.375279557136082,-6.957062015317888,0.9482588290746315
900081,602,602,603,1706.214401406895,1464.4484943052796,0.6031775895077618,-0.1479594268428774,0.2770564954713119,25,0.0,1340.6311171027896,2.2893091664270995,13.400738882002504,693,693,694,1706.6496677061716,1464.291779708132,0.3293196926756295,0.0742054879791124,0.5757717702192323,25,0.0,1770.4754395208383,2.050268314537464,13.520473249924226,138.6496677061716,-5.708220291867974,10.53381222712771
900088,602,602,603,1706.214401406895,1464.4484943052796,0.6031775895077618,-0.1479594268428774,0.2770564954713119,25,0.0,1340.6311171027896,2.2893091664270995,13.400738882002504,700,700,701,1706.4717229988248,1463.7226260190398,0.6017121364677617,-0.2505608780400556,0.2134445246444069,25,0.0,1920.2107758180705,2.014987314514664,13.539319209109443,138.47172299882482,-6.277373980960192,10.522183947735918
904556,605,605,606,1539.7742109902451,1464.3143057337952,0.7421887036499,0.009590679910307,0.4544117807089414,25,0.0,3764.441686082679,1.505649365515795,13.855690386326916,686,686,687,1539.8952607640006,1463.2263102237623,0.2502627999079913,0.1455234208570653,-0.1343414256096692,25,0.0,4208.762919236023,1.829427842643509,13.64421178883748,-28.104739235999432,-6.773689776237688,2.19452021124612
904574,605,605,606,1539.7742109902451,1464.3143057337952,0.7421887036499,0.009590679910307,0.4544117807089414,25,0.0,3764.441686082679,1.505649365515795,13.855690386326916,704,704,705,1539.4839940537777,1465.9682658903953,0.2923911131750752,0.0449548338074898,0.3390193625234848,25,0.0,4144.653252645368,1.4705795710717853,13.881278678585147,-28.51600594622232,-4.031734109604713,2.1861783145808507
904575,605,605,606,1539.7742109902451,1464.3143057337952,0.7421887036499,0.009590679910307,0.4544117807089414,25,0.0,3764.441686082679,1.505649365515795,13.855690386326916,705,705,706,1541.2576346512876,1465.9743074791709,0.5830732455071995,0.3070161326055878,0.111959861586208,25,0.0,4258.466084570609,1.633866034736687,13.766958888419268,-26.742365348712383,-4.025692520829125,2.0528852951617
909058,608,608,609,1550.5388890468594,1467.676314479551,0.8671399535947157,-0.125260611881245,-0.9217977593700292,25,0.0,3900.46592378606,1.2928593117366065,14.021121830607951,706,706,707,1549.4442599540118,1466.316621607314,0.2874159169926938,-0.8188992738508828,-0.3659533196234207,25,0.0,4237.686938990509,1.7006391780697636,13.7234695504715,-18.55574004598816,-3.683378392686109,1.4360494119229112
912048,610,610,611,1706.0814213562164,1467.6284598150044,0.2255752241506073,0.1466227442246555,0.8000488885472752,25,0.0,1056.176969485401,1.2952911118838826,14.019081536337948,708,708,709,1705.9283862009115,1466.8995108862755,0.3281139519610692,-0.0211918106738082,0.7170671840805098,25,0.0,1605.2769880480132,1.4638041088632376,13.886292595304669,137.92838620091152,-3.1004891137245068,10.4727887674836
915044,612,612,613,1576.921101665896,1468.493085842242,0.4382808557159013,0.1383271247861903,-0.2297977817611427,25,0.0,5511.5465487977945,1.835160483230956,13.640814877665855,716,716,717,1575.2604565337067,1469.182489651659,0.522738747535788,-0.4309009356769921,-0.9138180466516987,25,0.0,6842.185704272057,1.3899958103934449,13.94246627189309,7.2604565337067015,-0.8175103483411021,0.5546239995397104
916538,613,613,614,1576.560456545002,1468.667475391624,0.4525531738746993,0.526252839793331,-0.1870166283858652,25,0.0,5395.579220522452,1.7019342806656317,13.722643034975407,716,716,717,1575.2604565337067,1469.182489651659,0.522738747535788,-0.4309009356769921,-0.9138180466516987,25,0.0,6842.185704272057,1.3899958103934449,13.94246627189309,7.2604565337067015,-0.8175103483411021,0.5546239995397104
918033,614,614,615,1623.691018064878,1470.5932602909195,0.6384919257284416,-0.4491180955608187,-0.0021535029862421,25,0.0,2034.6209274862688,1.582321729837631,13.801763019404405,717,717,718,1624.3383091606672,1470.679761963372,0.4282036668563242,0.407225780316887,0.2906791632558932,25,0.0,3089.1016695736776,2.785643322757512,13.187686229897508,56.33830916066722,0.6797619633719023,4.276952336903554
