Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Umag    Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag
0.026915 0.28364 1.06296 1.2999999523 2.5194499493    1.300  2.682  3.5487  1.016    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -1.58e-26      0.00 6.755e-01 2.972e-01 4.848e-03 1.324e-03 1.202e-02 -1.000 2.732e-02 -1.936 3.434 1.875 0.446 -0.781 -2.206 -3.686 -4.528 -4.788
0.026915 0.28364 1.06296 1.3500000238 2.5249314308    1.350  2.720  3.5480  0.992    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -3.07e-26      0.00 6.755e-01 2.972e-01 4.848e-03 1.324e-03 1.202e-02 -1.000 2.732e-02 -2.031 3.364 1.808 0.378 -0.858 -2.293 -3.784 -4.626 -4.887
0.026915 0.28364 1.06296 1.3999999762 2.5299651623    1.400  2.751  3.5480  0.977    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -1.29e-26      0.00 6.755e-01 2.972e-01 4.848e-03 1.324e-03 1.202e-02 -1.000 2.732e-02 -2.108 3.299 1.734 0.300 -0.936 -2.370 -3.861 -4.702 -4.964
0.026915 0.28364 1.06296 1.4500000477 2.5346016884    1.450  2.778  3.5482  0.967    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -1.62e-26      0.00 6.755e-01 2.972e-01 4.848e-03 1.324e-03 1.202e-02 -1.000 2.732e-02 -2.175 3.237 1.662 0.223 -1.011 -2.441 -3.927 -4.767 -5.029
0.026915 0.28364 1.06296 1.5000000000 2.5388846397    1.500  2.804  3.5485  0.957    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -3.95e-26      0.00 6.755e-01 2.972e-01 4.848e-03 1.324e-03 1.202e-02 -1.000 2.732e-02 -2.239 3.178 1.591 0.148 -1.083 -2.509 -3.990 -4.830 -5.092
0.026915 0.28364 1.06296 1.5499999523 2.5428512096    1.550  2.830  3.5486  0.945    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -4.57e-26      0.00 6.755e-01 2.972e-01 4.848e-03 1.324e-03 1.202e-02 -1.000 2.732e-02 -2.305 3.120 1.525 0.078 -1.152 -2.576 -4.057 -4.895 -5.158
0.026915 0.28364 1.06296 1.6000001431 2.5465342999    1.600  2.854  3.5487  0.935    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -1.35e-25      0.00 6.755e-01 2.972e-01 4.848e-03 1.324e-03 1.202e-02 -1.000 2.732e-02 -2.366 3.064 1.460 0.010 -1.219 -2.640 -4.117 -4.955 -5.218
0.026915 0.28364 1.06296 1.6500000954 2.5499615669    1.649  2.876  3.5491  0.928    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -2.34e-25      0.00 6.755e-01 2.972e-01 4.848e-03 1.324e-03 1.202e-02 -1.000 2.732e-02 -2.420 3.011 1.394 -0.061 -1.285 -2.699 -4.170 -5.007 -5.269
0.026915 0.28364 1.06296 1.6749999523 2.5515873432    1.674  2.894  3.5485  0.914    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -9.38e-26      0.00 6.755e-01 2.972e-01 4.848e-03 1.324e-03 1.202e-02 -1.000 2.732e-02 -2.464 2.984 1.374 -0.079 -1.312 -2.736 -4.216 -5.054 -5.317
0.026915 0.28364 1.06296 1.7000000477 2.5531582832    1.699  2.904  3.5487  0.911    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 6.755e-01 2.972e-01 4.848e-03 1.324e-03 1.202e-02 -1.000 2.732e-02 -2.491 2.959 1.343 -0.112 -1.343 -2.764 -4.242 -5.080 -5.343
