,GaiaEDR3,RA_ICRS,DE_ICRS,GLON,GLAT,Plx,Gmag,BPmag,RPmag,Var,Hmag,Jmag,Ksmag,Probv1,ZeroPoint,pmGLON,pmGLAT,d50kin,dmaxpdfkin,xkin,ykin,zkin,rpgeo,xphotogeo,yphotogeo,zphotogeo,_RA_icrs,_DE_icrs,RAJ2000,DEJ2000
17,1454784244398598528,205.5263172616,28.355469515,42.1114186996,78.7275237603,0.1415,15.802084,16.063797,15.084208,0.0163653204,13.986,14.253,13.763,0.0425720215,-0.0342999995,-2.97,-0.555,2.3311049938,2.2891049385,0.3319468766,0.3000572074,2.244945069,3257.09246429,472.31634174,426.94157557,3194.25883192,205.5263172616,28.355469514999996,205.5263172616,28.355469515
18,1454784278758353152,205.5385534656,28.362110674,42.1421745841,78.716394079,0.0065,15.638598,15.672825,15.063266,0.2211423188,14.736,14.925,14.7,0.5727539062,-0.0336580016,-2.829,0.48000000000000004,4.4375610352,4.3935608864,0.6374288596,0.5768140158,4.3086363623,10476.975591,1520.02595966,1375.48255749,10274.4628254,205.53855346559996,28.362110673999997,205.5385534656,28.362110674
19,1454784317415144576,205.5544278572,28.3602965113,42.1288437441,78.7025516769,-0.0131,15.455607,15.382244,14.588007,0.0327594511,13.966,14.238,13.861,0.0279998779,-0.0339669995,-2.5780000000000003,0.687,2.7864899635,2.6844899654,0.390026232,0.3527725572,2.6324736344,4370.99627816,635.05665144,574.39869557,4286.30116204,205.5544278572,28.3602965113,205.5544278572,28.3602965113
20,1454784351777313280,205.5617737525,28.3800734722,42.2276875911,78.6949554347,0.0468,13.462301,13.889865,12.648067,0.0153600194,11.032,11.309,10.648,0.9995117188,-0.0361660011,-2.728,0.333,5.9792070389,5.93120718,0.8609628447,0.7814318911,5.8161263563,9109.47113036,1322.31364378,1200.16567221,8932.7237314,205.5617737525,28.3800734722,205.5617737525,28.3800734722
21,1454784386135780224,205.5452681215,28.3761026082,42.2117943317,78.7096852115,0.0446,13.162861,13.18778,12.071682,0.0561464054,10.59,10.92,10.434,0.1346435547,-0.0362670012,-2.636,0.066,3.4732267857,3.3902266026,0.4916097441,0.445948931,3.3246181476,5919.37805936,858.35676313,778.63241231,5804.82487619,205.5452681215,28.376102608200004,205.5452681215,28.3761026082
22,1454784386135892736,205.5457187991,28.3781363517,42.2220454965,78.7091702302,-0.2344,15.151068,14.309409,13.515595,0.0989927666,12.364,12.782,12.262,0.0698242188,-0.0338170007,-1.8210000000000002,-2.7340000000000004,1.5574929714,1.5014929771,0.2177028497,0.197553578,1.472433093,2012.31711942,291.76771253,264.76344089,1973.37074859,205.5457187991,28.378136351699997,205.5457187991,28.3781363517
23,1454784420491734016,205.5613722064,28.3891764038,42.2741484562,78.694770755,0.1815,15.105699,15.339511,14.291445,0.014318025,12.992,13.326,12.824,0.0857543945,-0.0348180011,-2.656,0.17,2.7949697971,2.7659697533,0.4012137863,0.364745682,2.7123010086,3811.18224582,552.82558945,502.57681449,3737.23300371,205.5613722064,28.389176403799997,205.5613722064,28.3891764038
24,1454784420495556480,205.5468454052,28.3877458945,42.2707384446,78.7076130715,-0.0746,13.159589,13.559951,12.309053,0.0229958957,10.81,11.186,10.713,0.61328125,-0.0362530015,-2.6990000000000003,-0.07300000000000001,4.7913236618,4.7133235931,0.6829548093,0.6208037751,4.6220768811,9132.72165842,1323.32016994,1202.89387524,8955.91843101,205.5468454052,28.3877458945,205.5468454052,28.3877458945
25,1454784420495563264,205.5498002331,28.3920465235,42.291867359,78.7047616782,-1.6375,15.306881,14.356131,13.926388,0.281900681,13.29,13.526,12.983,0.0125045776,-0.0330849998,-1.7090000000000003,-1.9750000000000003,1.6094357967,1.5684359074,0.2272448644,0.2067179623,1.5380567776,3789.85292092,549.09774064,499.49804744,3716.44703097,205.54980023310003,28.392046523499996,205.5498002331,28.3920465235
26,1454784420495801984,205.5497191251,28.3922985801,42.2931737463,78.7048178198,0.0563,15.488857,14.438037,13.92768,0.1881916435,13.29,13.526,12.983,0.2868652344,-0.0318769999,-2.623,0.274,3.4204359055,3.3924357891,0.4915048396,0.4471279618,3.3267281466,4222.62817454,611.78525187,556.54852333,4140.84064499,205.5497191251,28.392298580100004,205.5497191251,28.3922985801
27,1454784454849745408,205.5140185055,28.3625647874,42.1508484204,78.7379219932,0.0168,15.679107,15.675632,15.512141,0.0135377413,15.463,15.372,15.439,0.998046875,-0.0316749997,-2.749,0.21400000000000002,4.3751592636,4.3241591454,0.6260926266,0.5667281951,4.2408937136,10473.7574433,1516.48958502,1372.70009099,10272.07616696,205.51401850549996,28.362564787400004,205.5140185055,28.3625647874
28,1454784454854049792,205.5075677698,28.3640013376,42.1598744882,78.7435057873,0.1157,15.627144,15.812034,15.178301,0.1419716484,14.701,14.873,14.639,0.9970703125,-0.0336880013,-2.704,0.18600000000000003,3.6426346302,3.6136345863,0.5228855206,0.4734567978,3.5441196814,4473.46469135,647.30117513,586.11135615,4387.40937361,205.5075677698,28.3640013376,205.5075677698,28.3640013376
29,1454784484916764288,205.523271109,28.3681790839,42.1771242001,78.7294688923,-0.1656,15.56956,15.672609,15.019304,0.1017995983,14.863,14.863,14.855,0.0772094727,-0.0336939991,-2.596,0.42800000000000005,4.8835482597,4.8295483589,0.6994951599,0.6337547655,4.7364120143,12306.04927514,1782.36581674,1614.85439075,12068.73092558,205.52327110899998,28.368179083899992,205.523271109,28.3681790839
30,1454784484916764544,205.52340798,28.3756300826,42.215146079,78.7289134599,0.1093,14.234225,14.661081,13.497713,0.0062489623,11.95,12.284,11.858,0.7622070312,-0.0356490016,-2.5940000000000003,0.45600000000000007,4.4508838654,4.3828840256,0.6344508888,0.5755906199,4.2983531602,6313.21055029,913.87817272,829.09443948,6191.45027825,205.52340798,28.375630082599997,205.52340798,28.3756300826
