,Unnamed: 0_B,Unnamed: 0.1_B,id_B,xcentroid_B,ycentroid_B,sharpness_B,roundness1_B,roundness2_B,npix_B,sky_B,peak_B,flux_B,mag_B,Unnamed: 0_V,Unnamed: 0.1_V,id_V,xcentroid_V,ycentroid_V,sharpness_V,roundness1_V,roundness2_V,npix_V,sky_V,peak_V,flux_V,mag_V,x_rad,y_rad,rad,distance,Vmag,Bmag
728145,487,487,488,1414.029135855833,1384.9180263978776,0.6055595252346324,0.1475514361133462,0.4335575403150131,25,0.0,783.286998404787,1.0319615021378228,14.49916772213036,567,567,568,1414.187994367223,1385.876350741318,0.6987836819190346,0.1796557758164113,0.1863715285167763,25,0.0,1292.3218072138457,1.34395483671541,14.301300379898818,-153.81200563277707,-84.12364925868201,1.777681728722445,1.777681728722445,14.301300379898818,14.49916772213036
735620,492,492,493,1597.970793680421,1392.9094881185902,0.2583145773162172,0.2036399907117006,0.6516315332537989,25,0.0,1396.9279536527624,1.262474883766582,14.270318348321322,572,572,573,1598.5184631803736,1391.6014999982335,0.4305870464181476,0.0603568484362146,0.2004476662447167,25,0.0,2365.594790944854,2.3801119226093683,13.626138340718414,30.5184631803736,-78.39850000176648,0.853068828760049,0.853068828760049,13.626138340718414,14.270318348321322
737114,493,493,494,1600.0284507360984,1392.049133948551,0.5601684636748069,-0.6500723710368665,-0.7138364758555502,25,0.0,1380.8000312725876,1.0118518042647735,14.521505519006546,572,572,573,1598.5184631803736,1391.6014999982335,0.4305870464181476,0.0603568484362146,0.2004476662447167,25,0.0,2365.594790944854,2.3801119226093683,13.626138340718414,30.5184631803736,-78.39850000176648,0.853068828760049,0.853068828760049,13.626138340718414,14.521505519006546
737116,493,493,494,1600.0284507360984,1392.049133948551,0.5601684636748069,-0.6500723710368665,-0.7138364758555502,25,0.0,1380.8000312725876,1.0118518042647735,14.521505519006546,574,574,575,1601.0929318317033,1391.6830292635027,0.5488328895602457,0.0649430990463252,0.1754457906171158,25,0.0,2122.9555789840847,1.4540010835811537,14.208327395294614,33.092931831703254,-78.3169707364973,0.8621200720896788,0.8621200720896788,14.208327395294614,14.521505519006546
741599,496,496,497,1625.782463577445,1395.242067515348,0.3722322880530864,0.0821745673919026,-0.2756018634919458,25,0.0,1317.7773383766437,1.125599781058249,14.4005794675968,575,575,576,1625.5435026780842,1394.8272581383196,0.2641720474143851,0.010120714906754,0.1097824855119719,25,0.0,2128.4725464262124,2.2998454556453325,13.666664286053484,57.543502678084224,-75.17274186168038,0.9599423885208513,0.9599423885208513,13.666664286053484,14.4005794675968
746085,499,499,500,1572.1811013214658,1402.009386639293,0.3724776640958899,0.451031259553088,0.4103913935110687,25,0.0,1390.4309099974762,1.0006017728398815,14.534196476429068,579,579,580,1571.724608637041,1400.1763896854263,0.6730364978278706,0.1047589724102908,0.5320746260372682,25,0.0,1920.7260752030736,1.2527157938527589,14.38435063923825,3.724608637041001,-69.82361031457367,0.7090180118550556,0.7090180118550556,14.38435063923825,14.534196476429068
750573,502,502,503,1548.174629373582,1406.429937814633,0.41547171431433,-0.1384297143036135,0.4883539091849988,25,0.0,2262.6263352306373,1.9195214735552164,13.794711575115278,585,585,586,1548.516046521433,1406.0473253022003,0.5390514817839399,-0.0355194876923531,0.2556829881980664,25,0.0,4716.29791252491,4.729080126050618,12.815062457080192,-19.483953478566946,-63.952674697799694,0.6779080330639706,0.6779080330639706,12.815062457080192,13.794711575115278
752067,503,503,504,1547.8384958588952,1406.220663520535,0.3797502165586689,0.2749646485959883,-0.0315468298292193,25,0.0,2216.344085086797,1.9229147024744448,13.792706786402537,585,585,586,1548.516046521433,1406.0473253022003,0.5390514817839399,-0.0355194876923531,0.2556829881980664,25,0.0,4716.29791252491,4.729080126050618,12.815062457080192,-19.483953478566946,-63.952674697799694,0.6779080330639706,0.6779080330639706,12.815062457080192,13.792706786402537
753563,504,504,505,1602.817227121649,1408.1511508847643,0.242126722777727,0.4820755757618203,0.3920182041894408,25,0.0,1501.226256069703,1.0521198169484678,14.477208593367372,587,587,588,1603.2012003434818,1408.925208212529,0.2645289025607835,0.3302886767480051,-0.0683118056980981,25,0.0,2392.8394705566066,1.4396248526116489,14.220065677373317,35.20120034348179,-61.074791787470986,0.7147984193432245,0.7147984193432245,14.220065677373317,14.477208593367372
753566,504,504,505,1602.817227121649,1408.1511508847643,0.242126722777727,0.4820755757618203,0.3920182041894408,25,0.0,1501.226256069703,1.0521198169484678,14.477208593367372,590,590,591,1603.0438155521176,1409.204915492401,0.6037077687540701,-0.4147449502853899,0.2333081865521996,25,0.0,2398.6306990667645,1.6304019046394054,14.073057243626158,35.04381555211762,-60.795084507599086,0.7115442046140283,0.7115442046140283,14.073057243626158,14.477208593367372
753570,504,504,505,1602.817227121649,1408.1511508847643,0.242126722777727,0.4820755757618203,0.3920182041894408,25,0.0,1501.226256069703,1.0521198169484678,14.477208593367372,594,594,595,1603.0045785163463,1409.9129379814103,0.6883822851900182,-0.5997840773029488,0.4562182302444553,25,0.0,2457.6322266523625,1.2010426433650234,14.43411239117041,35.00457851634633,-60.08706201858968,0.7051329708809743,0.7051329708809743,14.43411239117041,14.477208593367372
755061,505,505,506,1630.347567756668,1408.1794274179526,0.6285110765187786,0.2695036741275037,0.1288309789763103,25,0.0,1588.022799011682,1.3492751642599805,14.19484189401957,591,591,592,1630.2915769584354,1408.7583385430364,0.3741439493309031,-0.1047183004670512,-0.1760553716597991,25,0.0,3515.080557378979,4.1653473146911,12.965008903780648,62.29157695843537,-61.241661456963584,0.8857730622234096,0.8857730622234096,12.965008903780648,14.19484189401957
