,Id,GaiaEDR3,Name,RAJ2000,DEJ2000,Bmag,Vmag,recno,distance
481,219630,1454783252262975104,M3-S270     ,205.43575151761,28.33773082866,16.721,15.929,28559,7.164207348723694
1640,220859,1454878944131910784,M3-S429     ,205.62970846494,28.46431348377,16.6,15.853,29718,7.145749205439178
1666,220881,1454879150290341504,M3-S451     ,205.62533799807,28.46809590035,18.155,17.506,29744,7.141025081338651
478,219621,1454783252257737728,M3-S275     ,205.43662530581,28.33657595449,19.865,19.425,28556,7.138168104431646
328,219022,1454779610130821376,M3-S820     ,205.54766491652,28.25837303638,16.954,16.224,28406,7.134380147383806
738,219768,1454784794152053632,M3-S268     ,205.43289942741,28.34933439891,19.933,19.504,28816,7.130885148073355
1713,220983,1454880176785126016,M3-S617     ,205.54301483234,28.49591950311,19.557,19.125,29791,7.1259229691789345
744,219856,1454784794152063488,M3-S269     ,205.43179593086,28.35539100647,19.648,19.229,28822,7.119357699992813
855,220342,1454785206468985216,M3-S315     ,205.43138756752,28.3961084493,19.107,18.625,28933,7.112031985956641
339,219169,1454779850649018496,M3-S1636    ,205.60873265266,28.2754079273,15.852,15.814,28417,7.103200941766243
798,220190,1454785038964177408,M3-S286     ,205.43019088109,28.38177830378,19.656,19.227,28876,7.098646752530808
788,220001,1454785004604419328,M3-S273     ,205.43065633774,28.36622063107,19.705,19.24,28866,7.09665363803386
1227,220870,1454797610334630912,M3-S544     ,205.47132962545,28.46675212069,19.275,18.843,29305,7.0861260861987665
748,219848,1454784798445978240,M3-S271     ,205.43253030777,28.35492076768,20.329,19.885,28826,7.081346004384696
1414,219874,1454874301269564544,M3-S1694    ,205.66449143092,28.35644151847,19.143,18.736,29492,7.075835119183264
1789,220936,1454891416716749184,M3-S778     ,205.49263385137,28.48113883866,16.354,15.591,29867,7.073623306921486
1160,220533,1454796991859264384,M3-S368     ,205.43674713771,28.41500715574,19.486,19.062,29238,7.072241373589412
857,220454,1454785206468991744,M3-S344     ,205.43457638423,28.40675184409,19.88,19.449,28935,7.0556082934102635
789,220007,1454785004604420864,M3-S278     ,205.43166572253,28.36668228896,19.535,19.118,28867,7.033800586371385
710,219678,1454784725432569600,M3-S279     ,205.436551555,28.34245756361,19.419,18.994,28788,7.0294928650961666
442,219350,1454782221470938112,M3-S757     ,205.46457357407,28.29570036676,14.728,14.082,28520,7.018794634107308
801,220083,1454785038969380864,M3-S285     ,205.43170048396,28.37235398346,15.024,13.974,28879,7.009157723637426
796,220140,1454785034670261760,M3-S291     ,205.4319281737,28.37711416774,19.488,19.065,28874,6.989276406439475
1664,220885,1454879145992896640,M3-S498     ,205.62075523535,28.46849440959,19.009,18.522,29742,6.985190822017541
862,220430,1454785210768087296,M3-S350     ,205.43536456426,28.40494885445,19.571,19.147,28940,6.983329517191818
852,220263,1454785206468967808,M3-S314     ,205.43284858068,28.38855879943,19.183,18.742,28930,6.967007009038366
797,220205,1454785034670267648,M3-S302     ,205.43268404007,28.38283366733,19.846,19.403,28875,6.951916797819257
446,219437,1454782427629372288,M3-S1516    ,205.45375649134,28.31054568926,19.325,18.897,28524,6.948997444682382
750,219858,1454784798451207168,M3-S283     ,205.43499118487,28.35547050794,18.586,17.916,28828,6.930119942660229
304,219088,1454778922937794176,M3-S1570    ,205.51325704555,28.26735765378,19.293,18.89,28382,6.924326184201397
800,220027,1454785038969379968,M3-S288     ,205.43339250882,28.36820534825,19.019,18.463,28878,6.922840038550719
708,219647,1454784725432567424,M3-S292     ,205.43955542246,28.33934653229,19.169,18.716,28786,6.916765472600657
864,220442,1454785240829038848,M3-S357     ,205.43681329091,28.40572054121,20.011,19.573,28942,6.910218445609814
719,219656,1454784729726492288,M3-S294     ,205.43951214155,28.34036122163,20.12,19.674,28797,6.899432605703979
1220,220649,1454797374115485312,M3-S1510    ,205.44596145948,28.42942482736,16.396,15.602,29298,6.897737569487358
1788,220919,1454891382357010432,M3-S1549    ,205.49048558871,28.47651414235,18.586,17.947,29866,6.894504674484436
