,Seq,_2MASS,RAJ2000,DEJ2000,Vamp,Vmag,Bamp,Bmag,Iamp,Imag,Per,Class,Rem,distance
171,289,1,205.55070833333332,28.322472222222217,0.109,17.399,0.095,17.692,0.084,17.079,0.03578900000000001,b'SXP ',b'mp ',3.2911618698841503
351,289,1,205.55070833333332,28.322472222222217,0.109,17.399,0.095,17.692,0.084,17.079,0.03578900000000001,b'SXP ',b'mp ',3.2911618698841503
45,67,1,205.50629166666664,28.41230555555555,1.019,15.68,1.249,15.981,0.638,15.156,0.5683330000000001,b'RR0 ',b'Bl ',3.2871344644110625
225,67,1,205.50629166666664,28.41230555555555,1.019,15.68,1.249,15.981,0.638,15.156,0.5683330000000001,b'RR0 ',b'Bl ',3.2871344644110625
72,105,1,205.54104166666664,28.43144444444444,0.336,15.591,0.417,15.776,0.193,15.32,0.28774400000000006,b'RR1 ',b'   ',3.280026552805855
252,105,1,205.54104166666664,28.43144444444444,0.336,15.591,0.417,15.776,0.193,15.32,0.28774400000000006,b'RR1 ',b'   ',3.280026552805855
202,36,1,205.60229166666664,28.368722222222218,1.146,15.581,1.308,15.926,0.738,15.211,0.5455990000000002,b'RR0 ',b'   ',3.273038046489575
22,36,1,205.60229166666664,28.368722222222218,1.146,15.581,1.308,15.926,0.738,15.211,0.5455990000000002,b'RR0 ',b'   ',3.273038046489575
262,128,0,205.5838333333333,28.414972222222218,0.546,15.605,0.645,15.856,0.319,15.334,0.2920440000000001,b'RR1 ',b'   ',3.1034081593899585
82,128,0,205.5838333333333,28.414972222222218,0.546,15.605,0.645,15.856,0.319,15.334,0.2920440000000001,b'RR1 ',b'   ',3.1034081593899585
232,74,1,205.57562499999997,28.42030555555555,1.125,15.95,1.489,16.329,0.583,15.435,0.4921520000000001,b'RR0 ',b'   ',3.054575352991655
52,74,1,205.57562499999997,28.42030555555555,1.125,15.95,1.489,16.329,0.583,15.435,0.4921520000000001,b'RR0 ',b'   ',3.054575352991655
59,84,1,205.5679583333333,28.424194444444442,0.734,15.681,0.844,16.043,0.452,15.168,0.5957320000000002,b'RR0 ',b'   ',3.0494815603814653
239,84,1,205.5679583333333,28.424194444444442,0.734,15.681,0.844,16.043,0.452,15.168,0.5957320000000002,b'RR0 ',b'   ',3.0494815603814653
229,71,1,205.59854166666665,28.377916666666664,0.97,15.692,1.188,15.936,0.591,15.21,0.5490530000000001,b'RR0 ',b'Bl?',3.0077848786095327
49,71,1,205.59854166666665,28.377916666666664,0.97,15.692,1.188,15.936,0.591,15.21,0.5490530000000001,b'RR0 ',b'Bl?',3.0077848786095327
226,68,1,205.55454166666664,28.42697222222222,0.803,15.619,0.961,15.88,0.465,15.238,0.35869000000000006,b'RR01',b'   ',3.004280288817143
46,68,1,205.55454166666664,28.42697222222222,0.803,15.619,0.961,15.88,0.465,15.238,0.35869000000000006,b'RR01',b'   ',3.004280288817143
36,57,1,205.59687499999998,28.378416666666663,0.682,15.875,0.932,16.292,0.44,15.347,0.5121910000000002,b'RR0 ',b'   ',2.9083439748408257
216,57,1,205.59687499999998,28.378416666666663,0.682,15.875,0.932,16.292,0.44,15.347,0.5121910000000002,b'RR0 ',b'   ',2.9083439748408257
53,75,1,205.56304166666663,28.422611111111106,0.541,15.652,0.61,15.867,0.314,15.299,0.3140800000000001,b'RR1 ',b'   ',2.8580990746367196
233,75,1,205.56304166666663,28.422611111111106,0.541,15.652,0.61,15.867,0.314,15.299,0.3140800000000001,b'RR1 ',b'   ',2.8580990746367196
227,69,1,205.5732083333333,28.41758333333333,0.929,15.679,1.062,16.083,0.568,15.229,0.5666150000000001,b'RR0 ',b'   ',2.839249386015989
47,69,1,205.5732083333333,28.41758333333333,0.929,15.679,1.062,16.083,0.568,15.229,0.5666150000000001,b'RR0 ',b'   ',2.839249386015989
16,24,1,205.50129166666665,28.38108333333333,0.713,15.523,0.885,15.939,0.431,15.001,0.6633720000000002,b'RR0 ',b'Bl ',2.8366683761074563
196,24,1,205.50129166666665,28.38108333333333,0.713,15.523,0.885,15.939,0.431,15.001,0.6633720000000002,b'RR0 ',b'Bl ',2.8366683761074563
228,70,1,205.55966666666663,28.420666666666662,0.394,15.404,0.473,15.723,0.246,14.961,0.4862760000000001,b'RR1 ',b'   ',2.6894732618108477
48,70,1,205.55966666666663,28.420666666666662,0.394,15.404,0.473,15.723,0.246,14.961,0.4862760000000001,b'RR1 ',b'   ',2.6894732618108477
197,27,1,205.5132083333333,28.34969444444444,0.863,15.588,1.078,15.974,0.528,15.107,0.5790870000000001,b'RR0 ',b'   ',2.6835345697646367
17,27,1,205.5132083333333,28.34969444444444,0.863,15.588,1.078,15.974,0.528,15.107,0.5790870000000001,b'RR0 ',b'   ',2.6835345697646367
3,6,1,205.50866666666664,28.394888888888886,1.108,15.782,1.362,16.155,0.687,15.301,0.5143330000000002,b'RR0 ',b'   ',2.6085776335873496
183,6,1,205.50866666666664,28.394888888888886,1.108,15.782,1.362,16.155,0.687,15.301,0.5143330000000002,b'RR0 ',b'   ',2.6085776335873496
251,104,1,205.53954166666665,28.41869444444444,1.17,15.495,1.365,15.789,0.771,15.039,0.5699460000000002,b'RR0 ',b'   ',2.541450488817635
71,104,1,205.53954166666665,28.41869444444444,1.17,15.495,1.365,15.789,0.771,15.039,0.5699460000000002,b'RR0 ',b'   ',2.541450488817635
188,12,1,205.54691666666665,28.338055555555552,0.54,15.591,0.632,15.876,0.294,15.272,0.3179680000000001,b'RR1 ',b'   ',2.3550055068114117
8,12,1,205.54691666666665,28.338055555555552,0.54,15.591,0.632,15.876,0.294,15.272,0.3179680000000001,b'RR1 ',b'   ',2.3550055068114117
241,87,1,205.58266666666665,28.395166666666665,0.571,15.535,0.631,15.826,0.345,15.157,0.35436800000000007,b'RR01',b'   ',2.318476660653699
61,87,1,205.58266666666665,28.395166666666665,0.571,15.535,0.631,15.826,0.345,15.157,0.35436800000000007,b'RR01',b'   ',2.318476660653699
69,100,1,205.56979166666665,28.40547222222222,0.616,15.713,0.721,16.086,0.377,15.178,0.6188130000000002,b'RR0 ',b'   ',2.12292318602759
249,100,1,205.56979166666665,28.40547222222222,0.616,15.713,0.721,16.086,0.377,15.178,0.6188130000000002,b'RR0 ',b'   ',2.12292318602759
32,53,0,205.5455833333333,28.412527777777775,1.184,15.695,1.389,15.945,0.729,15.319,0.5048810000000001,b'RR0 ',b'   ',2.1218644640452675
212,53,0,205.5455833333333,28.412527777777775,1.184,15.695,1.389,15.945,0.729,15.319,0.5048810000000001,b'RR0 ',b'   ',2.1218644640452675
0,1,1,205.5463333333333,28.342722222222218,1.09,15.722,1.381,16.114,0.645,15.226,0.5203000000000001,b'RR0 ',b'Bl?',2.0770490133309756
180,1,1,205.5463333333333,28.342722222222218,1.09,15.722,1.381,16.114,0.645,15.226,0.5203000000000001,b'RR0 ',b'Bl?',2.0770490133309756
33,54,1,205.53741666666664,28.40791666666666,1.029,15.751,1.216,16.094,0.579,15.295,0.5062470000000001,b'RR0 ',b'Bl?',1.9532506818125146
213,54,1,205.53741666666664,28.40791666666666,1.029,15.751,1.216,16.094,0.579,15.295,0.5062470000000001,b'RR0 ',b'Bl?',1.9532506818125146
274,146,0,205.57699999999997,28.36230555555555,1.09,15.649,1.41,16.067,0.737,15.273,0.5021490000000001,b'RR0 ',b'   ',1.9360478137444523
94,146,0,205.57699999999997,28.36230555555555,1.09,15.649,1.41,16.067,0.737,15.273,0.5021490000000001,b'RR0 ',b'   ',1.9360478137444523
207,43,1,205.57945833333332,28.385277777777773,1.112,15.625,1.265,15.847,0.672,15.188,0.5405320000000001,b'RR0 ',b'   ',1.9234084469436115
27,43,1,205.57945833333332,28.385277777777773,1.112,15.625,1.265,15.847,0.672,15.188,0.5405320000000001,b'RR0 ',b'   ',1.9234084469436115
90,140,1,205.5428333333333,28.408527777777774,0.507,15.515,0.618,15.815,0.259,15.176,0.3334990000000001,b'RR1 ',b'Bl?',1.9047304806135446
270,140,1,205.5428333333333,28.408527777777774,0.507,15.515,0.618,15.815,0.259,15.176,0.3334990000000001,b'RR1 ',b'Bl?',1.9047304806135446
280,152,1,205.57279166666663,28.392666666666663,0.458,15.49,0.509,15.733,0.272,15.235,0.3261300000000001,b'RR1 ',b'   ',1.7296398110569209
100,152,1,205.57279166666663,28.392666666666663,0.458,15.49,0.509,15.733,0.272,15.235,0.3261300000000001,b'RR1 ',b'   ',1.7296398110569209
296,178,0,205.57279166666663,28.391638888888885,0.406,15.712,0.448,15.908,0.245,15.475,0.2669810000000001,b'RR1 ',b'   ',1.697519696627225
116,178,0,205.57279166666663,28.391638888888885,0.406,15.712,0.448,15.908,0.245,15.475,0.2669810000000001,b'RR1 ',b'   ',1.697519696627225
70,101,1,205.56241666666665,28.40155555555555,0.627,15.671,0.714,16.036,0.401,15.167,0.6438860000000002,b'RR0 ',b'Bl ',1.6815709729619606
250,101,1,205.56241666666665,28.40155555555555,0.627,15.671,0.714,16.036,0.401,15.167,0.6438860000000002,b'RR0 ',b'Bl ',1.6815709729619606
353,291,0,205.57529166666663,28.377666666666663,0.838,17.462,0.978,17.697,0.519,17.141,0.07162900000000001,b'SXP ',b'   ',1.612709482824537
