,recno,RRt,Saw,__Bmag_,__Vmag_,_RA,_DE,Bmag,Vmag,RAJ2000,DEJ2000,distance
135,136,b'Blaz',45,15.976,15.674,205.47215416666663,28.341649999999998,15.976,15.674,205.47215416666663,28.341649999999998,5.050400109746154
136,137,b'Blaz',45,15.943,15.643,205.47215416666663,28.341649999999998,15.943,15.643,205.47215416666663,28.341649999999998,5.050400109746154
122,123,b'Blaz',35,15.828,15.567,205.5147458333333,28.300999999999995,15.828,15.567,205.5147458333333,28.300999999999995,5.002669194391079
121,122,b'Blaz',35,15.922,15.625,205.5147458333333,28.300999999999995,15.922,15.625,205.5147458333333,28.300999999999995,5.002669194391079
93,94,b'Blaz',5,15.876,15.6,205.6306708333333,28.37236944444444,15.876,15.6,205.6306708333333,28.37236944444444,4.944066155463204
68,69,b'RRab',96,15.794,15.564,205.49669999999998,28.313213888888885,15.794,15.564,205.49669999999998,28.313213888888885,4.939945009861549
28,29,b'RRab',15,15.899,15.602,205.51983749999997,28.30236944444444,15.899,15.602,205.51983749999997,28.30236944444444,4.810440847741545
27,28,b'RRab',11,15.839,15.585,205.5003458333333,28.319988888888886,15.839,15.585,205.5003458333333,28.319988888888886,4.487048802158652
125,126,b'Blaz',38,15.931,15.625,205.48381666666663,28.413599999999995,15.931,15.625,205.48381666666663,28.413599999999995,4.446657520657388
124,125,b'Blaz',38,15.991,15.66,205.48381666666663,28.413599999999995,15.991,15.66,205.48381666666663,28.413599999999995,4.446657520657388
149,150,b'Blaz',59,15.989,15.648,205.51384166666665,28.314813888888885,15.989,15.648,205.51384166666665,28.314813888888885,4.283607030348461
148,149,b'Blaz',59,16.015,15.672,205.51384166666665,28.314813888888885,16.015,15.672,205.51384166666665,28.314813888888885,4.283607030348461
11,12,b'RRc ',125,15.886,15.62,205.60721666666663,28.34170833333333,15.886,15.62,205.60721666666663,28.34170833333333,4.123291696688971
8,9,b'RRc ',97,15.916,15.661,205.5074208333333,28.32355833333333,15.916,15.661,205.5074208333333,28.32355833333333,4.054463690614549
118,119,b'Blaz',34,15.909,15.613,205.5908208333333,28.425688888888885,15.909,15.613,205.5908208333333,28.425688888888885,3.8614467694033423
119,120,b'Blaz',34,15.967,15.64,205.5908208333333,28.425688888888885,15.967,15.64,205.5908208333333,28.425688888888885,3.8614467694033423
