,Seq,m_Seq,Per,u_Per,Type,__Bmag_,u__Bmag_,__Vmag_,u__Vmag_,__Imag_,u__Imag_,FileName,SimbadName,_RA,_DE,Bmag,Vmag,RAJ2000,DEJ2000,distance
297,b' 61',b' ',0.5209053,b' ',b'RRab',15.991,b':',15.69,b' ',15.207,b':',b'v061',b'Cl* NGC 5272 SAW V 61',205.60775416666664,28.47930833333333,15.991,15.69,205.60775416666664,28.47930833333333,7.081883903205646
320,b' 85',b' ',0.3558191,b' ',b'RRc',15.754,b' ',15.574,b' ',15.176,b' ',b'v085',b'Cl* NGC 5272 SAW V 85',205.64469166666663,28.441391666666664,15.754,15.574,205.64469166666663,28.441391666666664,6.940237755723678
83,b' 85',b' ',0.3558191,b' ',b'RRc',15.754,b' ',15.574,b' ',15.176,b' ',b'v085',b'Cl* NGC 5272 SAW V 85',205.64469166666663,28.441391666666664,15.754,15.574,205.64469166666663,28.441391666666664,6.940237755723678
348,b'120',b' ',0.64014,b' ',b'RRab',16.007,b' ',15.628,b' ',15.09,b' ',b'v120',b'Cl* NGC 5272 SAW V120',205.45441666666665,28.44223055555555,16.007,15.628,205.45441666666665,28.44223055555555,6.855466473342665
111,b'120',b' ',0.64014,b' ',b'RRab',16.007,b' ',15.628,b' ',15.09,b' ',b'v120',b'Cl* NGC 5272 SAW V120',205.45441666666665,28.44223055555555,16.007,15.628,205.45441666666665,28.44223055555555,6.855466473342665
326,b' 92',b' ',0.5035471,b' ',b'RRab',15.949,b' ',15.672,b' ',15.201,b' ',b'v092',b'Cl* NGC 5272 SAW V 92',205.53949999999998,28.26461666666666,15.949,15.672,205.53949999999998,28.26461666666666,6.780755470152673
89,b' 92',b' ',0.5035471,b' ',b'RRab',15.949,b' ',15.672,b' ',15.201,b' ',b'v092',b'Cl* NGC 5272 SAW V 92',205.53949999999998,28.26461666666666,15.949,15.672,205.53949999999998,28.26461666666666,6.780755470152673
339,b'108',b' ',0.51961,b' ',b'RRab',16.0,b' ',15.708,b' ',15.241,b' ',b'v108',b'Cl* NGC 5272 SAW V108',205.47857499999998,28.464466666666663,16.0,15.708,205.47857499999998,28.464466666666663,6.702782386144632
102,b'108',b' ',0.51961,b' ',b'RRab',16.0,b' ',15.708,b' ',15.241,b' ',b'v108',b'Cl* NGC 5272 SAW V108',205.47857499999998,28.464466666666663,16.0,15.708,205.47857499999998,28.464466666666663,6.702782386144632
54,b' 55',b' ',0.5298207,b' ',b'RRab',15.976,b' ',15.673,b' ',,b' ',b'v055',b'Cl* NGC 5272 SAW V 55',205.4836458333333,28.468247222222217,15.976,15.673,205.4836458333333,28.468247222222217,6.700352300908714
291,b' 55',b' ',0.5298207,b' ',b'RRab',15.976,b' ',15.673,b' ',,b' ',b'v055',b'Cl* NGC 5272 SAW V 55',205.4836458333333,28.468247222222217,15.976,15.673,205.4836458333333,28.468247222222217,6.700352300908714
292,b' 56',b' ',0.3296,b' ',b'RRc',15.866,b' ',15.642,b' ',15.253,b' ',b'v056',b'Cl* NGC 5272 SAW V 56',205.5031083333333,28.47766944444444,15.866,15.642,205.5031083333333,28.47766944444444,6.608565594523548
55,b' 56',b' ',0.3296,b' ',b'RRc',15.866,b' ',15.642,b' ',15.253,b' ',b'v056',b'Cl* NGC 5272 SAW V 56',205.5031083333333,28.47766944444444,15.866,15.642,205.5031083333333,28.47766944444444,6.608565594523548
257,b' 21',b' ',0.515758,b' ',b'RRab',16.012,b' ',15.69,b' ',,b' ',b'v021',b'Cl* NGC 5272 SAW V 21',205.65779999999998,28.383752777777776,16.012,15.69,205.65779999999998,28.383752777777776,6.574531356207819
